listing_date,code,company_name,market
2023-10-17,4896,（株）ケイファーマ,グロース
2023-10-04,5592,（株）くすりの窓口,グロース
2023-10-04,9331,（株）キャスター,グロース
2023-10-03,5843,ニッポンインシュア（株）,スタンダード
2023-10-03,6223,（株）西部技研,スタンダード
2023-10-02,5535,ミガロホールディングス（株）,プライム
2023-10-02,5844,（株）京都フィナンシャルグループ,プライム
2023-10-02,6209,リケンＮＰＲ（株）,プライム
2023-10-02,9332,ＮＩＳＳＯホールディングス（株）,プライム
2023-09-27,2938,（株）オカムラ食品工業,スタンダード
2023-09-27,5591,（株）ＡＶＩＬＥＮ,グロース
2023-09-26,5589,（株）オートサーバー,スタンダード
2023-09-26,5590,（株）ネットスターズ,グロース
2023-09-25,6228,（株）ジェイ・イー・ティ,スタンダード
2023-09-22,3958,笹徳印刷（株）,スタンダード
2023-09-22,5588,ファーストアカウンティング（株）,グロース
2023-09-21,9330,（株）揚羽,グロース
2023-09-20,5842,インテグラル（株）,グロース
2023-09-12,9168,（株）ライズ・コンサルティング・グループ,グロース
2023-08-30,5587,（株）インバウンドプラットフォーム,グロース
2023-08-09,6224,（株）ＪＲＣ,グロース
2023-07-31,5586,（株）Laboro.AI,グロース
2023-07-28,9165,（株）クオルテック,グロース
2023-07-28,9166,（株）GENDA,グロース
2023-07-26,2962,（株）テクニスコ,スタンダード
2023-07-26,5585,エコナビスタ（株）,グロース
2023-07-24,9164,（株）トライト,グロース
2023-07-21,9163,（株）ナレルグループ,グロース
2023-07-07,5582,（株）グリッド,グロース
2023-07-05,9162,（株）ブリーチ,グロース
2023-07-04,7409,ＡｅｒｏＥｄｇｅ（株）,グロース
2023-07-03,9161,ID&Eホールディングス（株）,プライム
2023-06-30,5884,（株）クラダシ,グロース
2023-06-30,5885,（株）ジーデップ・アドバンス,スタンダード
2023-06-30,9160,（株）ノバレーゼ,スタンダード
2023-06-29,9159,（株）Ｗ　ＴＯＫＹＯ,グロース
2023-06-28,4893,ノイルイミューン・バイオテック（株）,グロース
2023-06-28,5580,（株）プロディライト,グロース
2023-06-27,4894,クオリプス（株）,グロース
2023-06-27,5533,（株）エリッツホールディングス,スタンダード
2023-06-26,9225,ブリッジコンサルティンググループ（株）,グロース
2023-06-23,5578,ＡＲアドバンストテクノロジ（株）,グロース
2023-06-22,5532,（株）リアルゲイト,グロース
2023-06-22,5577,（株）アイデミー,グロース
2023-06-21,5576,（株）オービーシステム,スタンダード
2023-06-21,9158,（株）シーユーシー,グロース
2023-06-14,5575,（株）Globee,グロース
2023-06-13,5574,（株）ＡＢＥＪＡ,グロース
